,Case ID,Activity,Complete Timestamp
0,4167020,01_HOOFD_010-complete,2010/10/06 00:00:00.000
21,4167020,01_HOOFD_065_2-complete,2010/10/08 00:00:00.000
22,4167020,01_HOOFD_040-complete,2010/10/08 08:34:54.000
23,4167020,01_HOOFD_050-complete,2010/10/08 08:35:06.000
24,4167020,01_HOOFD_055-complete,2010/10/08 08:35:14.000
25,4167020,01_HOOFD_060-complete,2010/10/08 08:35:21.000
26,4167020,01_HOOFD_065_1-complete,2010/10/08 08:35:29.000
28,4167020,01_HOOFD_265-complete,2010/10/11 10:06:22.000
29,4167020,01_HOOFD_170-complete,2010/10/11 10:05:01.000
30,4167020,01_HOOFD_200-complete,2010/10/11 10:05:08.000
31,4167020,01_HOOFD_205-complete,2010/10/11 10:05:08.000
32,4167020,05_EIND_010-complete,2010/10/11 10:02:09.000
33,4167020,01_HOOFD_020-complete,2010/10/07 11:53:09.000
34,4167020,01_HOOFD_110-complete,2010/10/11 10:03:19.000
35,4167020,01_HOOFD_100-complete,2010/10/08 11:58:56.000
36,4167020,01_HOOFD_130-complete,2010/10/11 10:04:21.000
20,4167020,06_VD_010-complete,2010/10/11 10:02:25.000
19,4167020,01_HOOFD_250-complete,2010/10/11 10:06:17.000
27,4167020,01_HOOFD_120-complete,2010/10/11 10:04:10.000
17,4167020,01_HOOFD_260-complete,2010/10/11 10:06:22.000
18,4167020,01_HOOFD_510_2-complete,2010/10/18 00:00:00.000
1,4167020,09_AH_I_010-complete,2010/10/11 10:07:10.000
2,4167020,01_HOOFD_370-complete,2010/10/11 10:07:21.000
3,4167020,01_HOOFD_380-complete,2010/10/11 10:07:28.000
4,4167020,01_HOOFD_430-complete,2010/10/11 10:08:22.000
5,4167020,01_HOOFD_470-complete,2010/10/11 10:08:27.000
7,4167020,01_HOOFD_490_1-complete,2010/10/11 10:08:31.000
8,4167020,01_HOOFD_510_1-complete,2010/10/18 15:35:17.000
6,4167020,01_HOOFD_480-complete,2010/10/11 10:08:31.000
