,Case ID,Activity,Complete Timestamp
0,3364103,01_HOOFD_030_2-complete,2010/10/13 00:00:00.000
20,3364103,01_HOOFD_030_1-complete,2010/12/02 13:12:07.000
21,3364103,01_HOOFD_040-complete,2010/12/02 13:13:46.000
22,3364103,01_HOOFD_060-complete,2010/12/02 13:14:03.000
23,3364103,01_HOOFD_120-complete,2010/12/02 13:27:14.000
24,3364103,01_HOOFD_065_2-complete,2010/10/13 00:00:00.000
26,3364103,01_HOOFD_015-complete,2010/12/02 13:12:00.000
19,3364103,01_HOOFD_100-complete,2010/12/02 00:00:00.000
27,3364103,01_HOOFD_020-complete,2010/12/02 13:12:04.000
29,3364103,05_EIND_010-complete,2010/12/02 13:17:14.000
30,3364103,01_HOOFD_010-complete,2010/10/04 00:00:00.000
31,3364103,08_AWB45_020_2-complete,2010/10/13 00:00:00.000
32,3364103,01_HOOFD_100-complete,2010/12/02 13:14:21.000
33,3364103,01_HOOFD_110-complete,2010/12/02 13:14:26.000
34,3364103,01_HOOFD_130-complete,2010/12/02 13:16:50.000
28,3364103,01_HOOFD_050-complete,2010/12/02 13:16:56.000
18,3364103,06_VD_010-complete,2010/12/02 13:25:33.000
25,3364103,01_HOOFD_065_1-complete,2010/12/02 13:14:05.000
16,3364103,01_HOOFD_180-complete,2010/12/02 13:27:26.000
17,3364103,08_AWB45_070_3-complete,2010/12/02 00:00:00.000
2,3364103,08_AWB45_030-complete,2010/12/02 13:29:08.000
3,3364103,08_AWB45_060-complete,2010/12/02 13:29:14.000
4,3364103,08_AWB45_070_1-complete,2010/12/02 13:29:14.000
5,3364103,08_AWB45_070_2-complete,2010/12/02 13:29:40.000
6,3364103,01_HOOFD_200-complete,2010/12/02 13:28:28.000
7,3364103,01_HOOFD_190_1-complete,2010/12/02 13:27:48.000
8,3364103,08_AWB45_010-complete,2010/12/02 13:28:32.000
1,3364103,08_AWB45_020_1-complete,2010/12/02 13:28:44.000
10,3364103,01_HOOFD_190_2-complete,2010/10/13 00:00:00.000
11,3364103,08_AWB45_080-complete,2010/12/02 13:30:51.000
12,3364103,08_AWB45_090_1-complete,2010/12/02 15:11:43.000
13,3364103,08_AWB45_090_2-complete,2010/12/03 00:00:00.000
14,3364103,08_AWB45_110-complete,2011/03/23 16:20:57.000
15,3364103,08_AWB45_150-complete,2011/03/23 16:20:57.000
9,3364103,08_AWB45_180-complete,2011/03/23 16:20:58.000
52,3395763,01_HOOFD_015-complete,2010/10/11 11:32:00.000
53,3395763,08_AWB45_070_2-complete,2010/10/13 15:31:20.000
54,3395763,01_HOOFD_020-complete,2010/10/11 11:32:06.000
55,3395763,01_HOOFD_100-complete,2010/10/13 15:30:33.000
56,3395763,01_HOOFD_110-complete,2010/10/13 15:30:40.000
57,3395763,01_HOOFD_100-complete,2010/10/06 00:00:00.000
58,3395763,01_HOOFD_010-complete,2010/10/08 00:00:00.000
62,3395763,01_HOOFD_030_2-complete,2010/10/11 00:00:00.000
60,3395763,01_HOOFD_065_2-complete,2010/10/06 00:00:00.000
61,3395763,01_HOOFD_190_2-complete,2010/10/06 00:00:00.000
63,3395763,01_HOOFD_040-complete,2010/10/13 15:24:40.000
64,3395763,01_HOOFD_060-complete,2010/10/13 15:30:23.000
65,3395763,01_HOOFD_065_1-complete,2010/10/13 15:30:25.000
66,3395763,06_VD_010-complete,2010/10/13 15:30:31.000
59,3395763,08_AWB45_020_2-complete,2010/10/11 00:00:00.000
51,3395763,08_AWB45_110-complete,2010/10/13 15:32:32.000
67,3395763,08_AWB45_090_2-complete,2010/10/13 00:00:00.000
49,3395763,08_AWB45_060-complete,2010/10/13 15:31:16.000
50,3395763,08_AWB45_070_3-complete,2010/10/13 00:00:00.000
35,3395763,08_AWB45_090_1-complete,2010/10/13 15:32:25.000
36,3395763,01_HOOFD_030_1-complete,2010/10/11 11:32:10.000
37,3395763,01_HOOFD_120-complete,2010/10/13 15:30:41.000
39,3395763,01_HOOFD_190_1-complete,2010/10/13 15:30:49.000
40,3395763,08_AWB45_010-complete,2010/10/13 15:31:05.000
41,3395763,08_AWB45_030-complete,2010/10/13 15:31:14.000
38,3395763,01_HOOFD_180-complete,2010/10/13 15:30:48.000
43,3395763,01_HOOFD_200-complete,2010/10/13 15:31:01.000
44,3395763,08_AWB45_020_1-complete,2010/10/13 15:31:06.000
45,3395763,08_AWB45_150-complete,2010/10/13 15:33:49.000
46,3395763,08_AWB45_180-complete,2010/10/13 15:33:52.000
47,3395763,01_HOOFD_130-complete,2010/10/13 15:30:45.000
48,3395763,08_AWB45_070_1-complete,2010/10/13 15:31:16.000
42,3395763,08_AWB45_080-complete,2010/10/13 15:32:03.000
97,3398124,01_HOOFD_190_1-complete,2010/12/02 14:22:21.000
90,3398124,01_HOOFD_260-complete,2010/12/02 14:23:17.000
91,3398124,01_HOOFD_065_2-complete,2010/11/30 00:00:00.000
92,3398124,01_HOOFD_205-complete,2010/12/02 14:22:39.000
94,3398124,01_HOOFD_060-complete,2010/11/30 14:16:41.000
95,3398124,01_HOOFD_065_1-complete,2010/11/30 14:19:50.000
96,3398124,06_VD_010-complete,2010/11/30 14:20:24.000
98,3398124,01_HOOFD_010-complete,2010/10/10 00:00:00.000
106,3398124,01_HOOFD_190_2-complete,2010/12/02 00:00:00.000
100,3398124,01_HOOFD_110-complete,2010/12/02 14:21:14.000
101,3398124,01_HOOFD_120-complete,2010/12/02 14:21:24.000
102,3398124,01_HOOFD_130-complete,2010/12/02 14:21:39.000
103,3398124,01_HOOFD_180-complete,2010/12/02 14:21:50.000
104,3398124,01_HOOFD_270-complete,2010/12/02 14:22:49.000
105,3398124,01_HOOFD_490_3-complete,2010/12/02 00:00:00.000
89,3398124,01_HOOFD_100-complete,2010/10/20 00:00:00.000
107,3398124,01_HOOFD_100-complete,2010/12/02 14:20:25.000
108,3398124,01_HOOFD_200-complete,2010/12/02 14:22:39.000
99,3398124,01_HOOFD_015-complete,2010/10/11 13:38:06.000
88,3398124,01_HOOFD_430-complete,2010/12/02 14:25:29.000
93,3398124,01_HOOFD_510_2-complete,2010/12/02 00:00:00.000
86,3398124,01_HOOFD_250-complete,2010/12/02 14:23:15.000
87,3398124,01_HOOFD_020-complete,2010/10/11 13:38:11.000
68,3398124,01_BB_770-complete,2011/02/01 12:23:13.000
69,3398124,01_HOOFD_040-complete,2010/11/30 14:16:27.000
70,3398124,01_HOOFD_470-complete,2010/12/02 14:25:36.000
