,Case ID,Activity,Complete Timestamp
0,3461877,01_HOOFD_010-complete,2010/10/08 00:00:00.000
24,3461877,01_HOOFD_030_2-complete,2010/10/12 00:00:00.000
25,3461877,01_HOOFD_015-complete,2010/10/12 11:57:34.000
26,3461877,01_HOOFD_020-complete,2010/10/12 11:57:39.000
27,3461877,01_HOOFD_065_1-complete,2010/10/12 12:00:35.000
28,3461877,01_HOOFD_100-complete,2010/10/15 00:00:00.000
29,3461877,01_HOOFD_190_2-complete,2010/10/28 00:00:00.000
30,3461877,01_HOOFD_205-complete,2010/11/01 11:14:21.000
31,3461877,01_HOOFD_130-complete,2010/10/28 11:29:54.000
23,3461877,01_HOOFD_100-complete,2010/10/28 11:30:03.000
32,3461877,01_HOOFD_060-complete,2010/10/12 12:00:27.000
34,3461877,01_HOOFD_110-complete,2010/10/28 11:29:56.000
35,3461877,01_HOOFD_120-complete,2010/10/28 11:30:11.000
37,3461877,01_HOOFD_065_2-complete,2010/10/28 00:00:00.000
38,3461877,01_HOOFD_190_1-complete,2010/10/28 11:30:20.000
39,3461877,01_HOOFD_030_1-complete,2010/10/12 11:57:58.000
40,3461877,06_VD_010-complete,2010/10/28 11:29:41.000
41,3461877,01_HOOFD_040-complete,2010/10/12 12:00:23.000
42,3461877,05_EIND_010-complete,2010/10/28 11:29:48.000
33,3461877,01_HOOFD_050-complete,2010/10/28 11:29:51.000
22,3461877,01_HOOFD_200-complete,2010/11/01 11:14:21.000
36,3461877,01_HOOFD_180-complete,2010/10/28 11:30:15.000
20,3461877,01_HOOFD_270-complete,2010/11/01 11:14:29.000
21,3461877,01_BB_540-complete,2011/05/26 09:43:44.000
1,3461877,01_HOOFD_260-complete,2010/11/02 12:17:48.000
2,3461877,09_AH_I_010-complete,2010/11/02 15:05:54.000
3,3461877,01_HOOFD_370-complete,2010/11/02 15:05:56.000
5,3461877,01_HOOFD_470-complete,2010/11/02 15:06:40.000
6,3461877,01_HOOFD_480-complete,2010/11/02 15:06:44.000
7,3461877,01_HOOFD_250-complete,2010/11/02 12:17:21.000
8,3461877,01_HOOFD_500-complete,2010/11/04 10:22:09.000
9,3461877,01_HOOFD_520-complete,2010/11/04 10:22:21.000
4,3461877,01_HOOFD_430-complete,2010/11/02 15:06:33.000
11,3461877,01_HOOFD_510_1-complete,2010/11/04 10:22:12.000
12,3461877,01_HOOFD_530-complete,2010/11/12 00:00:00.000
13,3461877,01_BB_770-complete,2011/05/26 09:43:53.000
14,3461877,01_HOOFD_790-complete,2011/05/26 09:43:53.000
15,3461877,01_HOOFD_490_1-complete,2010/11/02 15:06:44.000
16,3461877,01_HOOFD_490_2-complete,2010/11/02 15:06:50.000
17,3461877,01_HOOFD_375-complete,2010/11/02 15:05:56.000
18,3461877,01_HOOFD_510_2-complete,2010/11/04 00:00:00.000
10,3461877,01_HOOFD_380-complete,2010/11/02 15:06:17.000
