,Case ID,Activity,Complete Timestamp
0,2742737,01_HOOFD_010-complete,2011/06/01 00:00:00.000
1,2742737,01_HOOFD_015-complete,2011/06/16 12:17:11.000
7,2760925,01_HOOFD_010-complete,2010/10/05 00:00:00.000
8,2760925,01_HOOFD_015-complete,2010/10/07 14:57:14.000
47,2771451,01_HOOFD_010-complete,2010/10/06 00:00:00.000
46,2771451,08_AWB45_020_1-complete,2010/11/30 16:54:10.000
45,2771451,01_HOOFD_040-complete,2010/11/30 16:22:44.000
44,2771451,01_HOOFD_100-complete,2010/11/25 00:00:00.000
43,2771451,08_AWB45_030-complete,2010/11/30 16:55:36.000
38,2771451,01_HOOFD_020-complete,2010/11/30 16:22:02.000
41,2771451,01_HOOFD_260-complete,2010/12/01 10:54:12.000
40,2771451,01_HOOFD_030_2-complete,2010/11/18 00:00:00.000
48,2771451,01_HOOFD_065_2-complete,2010/11/24 00:00:00.000
37,2771451,08_AWB45_040-complete,2010/11/22 00:00:00.000
42,2771451,01_HOOFD_015-complete,2010/11/30 16:21:56.000
49,2771451,08_AWB45_020_2-complete,2010/11/18 00:00:00.000
53,2771451,01_HOOFD_050-complete,2010/11/30 16:51:36.000
51,2771451,08_AWB45_010-complete,2010/11/30 16:54:00.000
52,2771451,01_HOOFD_060-complete,2010/11/30 16:50:14.000
36,2771451,01_HOOFD_065_1-complete,2010/11/30 16:50:30.000
54,2771451,05_EIND_010-complete,2010/11/30 16:51:49.000
55,2771451,01_HOOFD_110-complete,2010/11/30 16:52:23.000
56,2771451,01_HOOFD_120-complete,2010/11/30 16:52:28.000
57,2771451,01_HOOFD_180-complete,2010/11/30 16:53:02.000
88,2782209,01_HOOFD_200-complete,2010/11/15 11:54:18.000
87,2782209,01_HOOFD_010-complete,2010/10/06 00:00:00.000
86,2782209,06_VD_010-complete,2010/11/15 09:05:04.000
83,2782209,01_HOOFD_015-complete,2010/10/12 09:54:56.000
84,2782209,01_HOOFD_065_1-complete,2010/10/18 15:56:37.000
127,2783345,01_HOOFD_130-complete,2010/12/01 10:36:21.000
129,2783345,01_HOOFD_190_2-complete,2010/10/11 00:00:00.000
130,2783345,08_AWB45_020_2-complete,2010/11/17 00:00:00.000
131,2783345,01_HOOFD_260-complete,2010/12/01 10:37:49.000
