,0
00b15d4c778c3612,False
00c986fd2a19c131,True
0143a7becd676b0c,False
014c6b78795dab31,True
01794b9d725fd430,False
0192511a4bab90e8,False
01b94bdba96e4cd1,True
01ce9e9d8fb864e8,False
01d56995450a4b58,True
01f8c67a35f52a58,False
01fcf7844667537b,True
024839af016cd82e,False
02596c238a3342d3,False
026d8219cd297cf2,False
027a9274ae67b881,True
0282a4f885b04aff,False
03498425d8c8416d,False
034cfbe0bf79362c,False
037be55a332debc0,False
039ce987397af302,False
03a245988a8a8111,False
03bebde63284b255,True
03d53a2a4205d264,False
03d5531fd411c664,False
03f4c5fd5608609c,False
042782395ae065fe,False
04289966633264b0,False
042fc8a31c9d1191,False
04b791b556e19e9d,False
04e028a57a076e0d,False
04eddc4279d623d3,False
0535aab96b40fed8,False
05435ed96b738e20,False
054e0c56417d9555,True
05580287cd8539bd,False
055ac1b34af1082b,True
056a8cf011f988b3,False
059592a64f29dd2f,False
05a66f079e6398ec,False
05b086a2a05b8c49,False
05b7ba4a86ed86b5,False
05d3425143180c38,False
05e971c42e077a60,False
061b20375e0b5cd0,False
065149cba1958a69,False
06aa787c00f7d262,False
06c7f26fdfb7768e,False
06d997c1cf92f820,False
06e070f8234b361a,True
0711e15b99befe36,False
07318d4ea6e040fe,True
073e1c7b796df22b,False
077b9334e3dd0fb3,False
07b175bf5c8cda99,False
07be17e8dabb2590,False
07da1ae7704aa61e,False
082a7dfc435eec9a,False
083a5741ac9b9fb4,False
083c5d1fb682fc2d,False
08aa24f98ad8d01e,False
08d27c4979e2cb34,False
08d4dc60fe8a5bf9,True
08df66e99504f74f,True
0900d69e67651b2c,False
09013cdb0020dea6,False
09383067b780200f,False
094903d7c67df10a,True
09fcc2dd4a0530c3,False
0a2385b7c5c22a8b,False
0a9b39c7412c09da,True
0ab22d2788e0376d,False
0abdeff990d9c441,False
0b2b753e85637d7d,True
0b31cce5b120798c,False
0b41a5439abad585,False
0b517d8692e77af6,False
0b708363b6cc64d3,False
0b76c60cbb869805,False
0bafa669b9facdf6,False
0bece6ee5c00a538,False
0c70aee2e2dcdcff,False
0c88e39e2a99d73e,False
0c8b7b1dd5377e4e,False
0cb8fc1c8e89bbf6,False
0cd077b37bf49d8a,False
0cd2051a9d4f66f6,False
0cf19c42d1fc61a2,False
0cf8f2bee7c1e69c,False
0d074ff7fa0732f6,False
0d7ead25e7fea17a,False
0d9242f7a3339961,False
0ddfdd165da46289,False
0de7155f0ce8f72d,False
0e15e5aca5e26b8c,False
0e1b29b5fdfc08a5,False
0e62e56f0fe2f140,False
0e7d9705d9344fe4,False
0e9eec3d6c44b50c,False
0ec3f50baecbff95,False
0ecb48b03dd8d735,False
0edb0cdbbbd94b55,False
0edc87a764b34e67,False
0eebe9171e12eead,False
0ef7128f9e5afecf,False
0f4eee58add1ab27,False
0f5721c0dc5cf482,False
0f6ac6486593963c,False
0f86bf155d899b9c,False
0f934e6fa32099d6,False
0fe041daeb29bd3a,False
100d6212080e3221,True
104d39cfe2308040,False
1055d46d6d226d2c,False
106073bc50062bba,False
10652028da7a6d43,True
1086dd6502467bd4,False
10e4a357f3ff1711,True
10ea56f5c9dea806,False
10f28d9c4e99d66f,False
11013e5f6e06d2b7,False
11055dc932ffed95,False
115851943dbbf5ef,False
1169dfd5a99a81bc,False
117dec03958f1cd1,False
11bab6fbc991ea34,False
11bee3bff3863b12,False
11df6b48df17a4fc,False
124edca1bba3febe,False
1266f7d69a1e774d,False
1274e551d3c2f1ab,False
1274f0888b2a99cf,False
12a2374ab3721599,False
12ba4783504d03f7,True
1333c6cf9bb8062a,False
135ce59d78c55530,False
13767716f07be929,True
137a678030229f5d,False
139ce87f8bb4d9b5,False
13a5ea79894bfe95,False
13a8e7dcdcc7872a,False
13b3fbc1d46e3736,False
